node_id,D_tmax,alpha_c,normed_alpha_c,beta_exp_rough
0,7845.851932415879,1.8949412207869831,0.4236577556403283,0.9736600269571254
1,8672.016710479013,2.6168367202394767,0.5850541217914014,0.9845300265139214
2,8646.432132001699,2.6123657572660304,0.5840545350400537,0.9842092342351576
3,8808.322174941713,2.8769621412050568,0.643211151055615,0.9862232977738631
4,9036.301921062395,3.304331665706949,0.7387594517592911,0.9889976832862073
5,8864.357550074745,2.957921213837582,0.6613114164538068,0.9869118163274943
6,8861.193494855577,2.9492073273079256,0.6593632264152126,0.9868730550011684
7,7838.210011929198,1.822792990419941,0.4075273569686333,0.9735542238758534
8,7472.94288774433,1.638298515098368,0.3662793675928383,0.9683729157891102
9,9049.496294730923,3.36787013474569,0.7529649399794461,0.9891561016381276
10,8993.0410851424,3.2309729816791375,0.722358428291638,0.9884766443783253
11,7762.489224713672,1.9110163887108966,0.4272517296852637,0.972500252582773
12,9217.432467952494,3.881830573203509,0.8678726339260311,0.9911524911015965
13,8712.368098808678,2.6342232308200075,0.5889412766910691,0.985034054034962
14,6053.975849005483,1.3093012515643982,0.29272445161358446,0.9455101710256137
15,9193.879729024218,3.7138830227814745,0.8303240907329393,0.9908747045424252
16,8759.720333059116,2.73806370138569,0.6121572056190503,0.98562256022501
17,8144.814126471449,2.0506009747962293,0.4584590789234298,0.9777202944211419
18,8712.36809880868,2.6342232308200093,0.5889412766910695,0.985034054034962
19,6543.661765060749,1.4103992466526234,0.31532723698179044,0.9539552107555161
20,7857.95366616021,1.9049297159282468,0.42589091379180627,0.9738273659245503
21,9364.145991694948,4.47281135671154,1.0,0.9928670439861037
22,7593.395120552329,1.7059673677078722,0.38140829819438615,0.9701089997196088
23,8004.118735711818,1.9587715985165555,0.4379285067717825,0.9758283806195408
24,7386.667021003269,1.7233562563165579,0.3852959847570205,0.9671121305424325
25,8735.049299982224,2.744612527754209,0.6136213465913031,0.9853163401130751
26,8624.034487698622,2.480226390181311,0.5545117359934447,0.9839276211497677
27,8574.461770656051,2.436629084093173,0.5447645540509916,0.9833017170950196
28,8324.47245463449,2.236451578728582,0.5000102620855545,0.9800891801451684
29,8902.210565484662,2.9627237314183152,0.6623851298742324,0.9873744656271154
30,9370.193599339564,4.3853257147581335,0.980440569705196,0.9929371410051964
31,7362.256406554125,1.5975829309306842,0.3571764609597228,0.9667527346554279
32,5466.066436218368,1.2381441939778515,0.27681565244641765,0.9344187264836762
33,5747.235478069771,1.2670720519235292,0.2832831413786908,0.9398647478971021
34,5466.066436218365,1.2381441939778508,0.2768156524464175,0.9344187264836762
35,7799.690190018778,1.7781317910203283,0.39754231717199673,0.9730193381265483
36,8825.360218640071,2.8727755046006176,0.6422751320128809,0.9864331101799777
37,8545.38655605538,2.425285537997259,0.5422284430480331,0.9829329282728103
38,6431.207119198345,1.450089496928675,0.3242009066071583,0.9520731241021324
39,8220.465584501802,2.1679348505131886,0.4846917693633916,0.9787241038696184
40,8029.786023827905,2.046694750722112,0.45758575256052475,0.9761759931095532
41,8958.312183839964,3.1000704726450117,0.6930921573504986,0.9880565482220945
42,8843.526534947323,2.9082410907945677,0.6502042806770054,0.9866563708137341
43,8656.418497696026,2.5363736438294175,0.5670647477729056,0.9843345610986234
44,8859.531167565096,2.8150612924130956,0.6293717905605478,0.9868526850787966
45,8762.604958387547,2.6581703062416455,0.5942951969689062,0.9856583082451208
46,8278.93009313765,2.2363838199142148,0.49999511304192995,0.9794935538619984
47,8607.636810301203,2.5158218947191506,0.5624699308957242,0.9837209835335968
48,8633.362022567964,2.539533673904153,0.5677712452803388,0.9840449881383391
49,8436.806129864077,2.3329823128801053,0.5215919310747188,0.98154451738236
50,8436.80612986408,2.3329823128801053,0.5215919310747188,0.98154451738236
51,8544.089164109264,2.435634002706596,0.5445420806875478,0.9829164429758541
52,8372.360070787869,2.2892630923354127,0.511817492347476,0.980711974451826
53,8343.722513314684,2.2695581856321114,0.5074120065954928,0.9803399630881959
54,8388.002997523483,2.3164934516682787,0.5179054663667707,0.9809146442480308
55,8431.102952617533,2.3812575514837597,0.5323849725767299,0.9814710981313503
56,8466.270294331061,2.4114838908139262,0.5391427669301205,0.9819230324136201
57,8434.315857508154,2.381145642347182,0.5323599527116714,0.9815124652298334
58,6987.124599417547,1.5899600379812537,0.35547218766458544,0.961074621993527
59,6987.1245994175515,1.589960037981253,0.3554721876645853,0.961074621993527
60,7425.978879710043,1.7119671468515003,0.38274968701343964,0.9676884274278128
61,8110.111229896539,2.032996404193885,0.45452317168336065,0.9772567026464705
62,8583.577755413438,2.4433940300842454,0.5462770135426984,0.9834170864017443
63,8733.334926235038,2.622471012342122,0.5863137975642664,0.9852950289531226
64,8335.383223415789,2.2532829648734416,0.503773306131578,0.9802313928823037
65,8230.375367857268,2.139219937072013,0.47827188907980034,0.9788549107007454
66,7860.1353993924085,1.8679463615460017,0.4176224330907924,0.973857506824817
67,8462.334773264374,2.296303770790217,0.5133915981823308,0.9818725505485567
68,7899.0302771334655,1.9543149977153125,0.43693213101483136,0.974393444621985
69,8143.090467043627,2.1139044882285556,0.47261203740609375,0.9776973149219473
70,7864.804396571549,1.8807447266555186,0.42048380239274447,0.9739219814681803
71,9009.946803748184,3.1576154387272166,0.7059576599377824,0.9886805567096153
72,8297.144855093804,2.1588353707901864,0.48265737108514806,0.979732168063956
73,8927.434601193625,3.036191655901871,0.6788105765618768,0.9876816693523078
74,8143.090467043627,2.113904488228555,0.4726120374060937,0.9776973149219473
75,8952.84684479534,3.062297134283193,0.6846470575353366,0.9879902887840905
76,8193.90572800553,2.1469332260460963,0.47999637248831906,0.9783727407572673
77,8776.91880388623,2.6846643742424807,0.6002185561021011,0.9858355201688653
78,6737.666770587755,1.4556582370803017,0.32544592673153055,0.9571273819939543
79,7726.771877862958,1.7912492886837235,0.400475035906873,0.9719995226242252
80,8546.374183287848,2.354075660540097,0.5263078347822027,0.9829454758699905
